wavelength,CR210LA,CR240LA,CR300LA,CR460LA,CR570CP,CR440Y,CR700Y,CR1000Y,HR660Y
183.6,0,0,0,0,0,0,0,0,0
183.6333333,0,0,0,0,0,0,0,0,0
183.6666667,0,0,0,0,0,0,0,0,0
183.7,0,0,0,0,0,0,0,0,0
183.7333333,0,0,0,0,0,0,0,0,0
183.7666667,0,0,0,0,0,0,0,0,0
183.8,0,0,0,0,0,0,0,0,0
183.8333333,0,0,0,0,0,0,0,0,0
183.8666667,0,0,0,0,0,0,0,0,0
183.9,0,0,0,0,0,0,0,0,0
183.9333333,0,0,0,0,0,0,0,0,0
183.9666667,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
184.0333333,0,0,0,0,0,0,0,0,0
184.0666667,0,0,0,0,0,0,0,0,0
184.1,0,0,0,0,0,0,0,0,0
184.1333333,0,0,0,0,0,0,0,0,0
184.1666667,0,0,0,0,0,0,0,0,0
184.2,0,0,0,0,0,0,0,0,0
184.2333333,0,0,0,0,0,0,0,0,0
184.2666667,0,0,0,0,0,0,0,0,0
184.3,0,0,0,0,0,0,0,0,0
184.3333333,0,0,0,0,0,0,0,0,0
184.3666667,0,0,0,0,0,0,0,0,0
184.4,0,0,0,0,0,0,0,0,0
184.4333333,0,0,0,0,0,0,0,0,0
184.4666667,0,0,0,0,0,0,0,0,0
184.5,0,0,0,0,0,0,0,0,0
184.5333333,0,0,0,0,0,0,0,0,0
184.5666667,0,0,0,0,0,0,0,0,0
184.6,0,0,0,0,0,0,0,0,0
184.6333333,0,0,0,0,0,0,0,0,0
184.6666667,0,0,0,0,0,0,0,0,0
184.7,0,0,0,0,0,0,0,0,0
184.7333333,0,0,0,0,0,0,0,0,0
184.7666667,0,0,0,0,0,0,0,0,0
184.8,0,0,0,0,0,0,0,0,0
184.8333333,0,0,0,0,0,0,0,0,0
184.8666667,0,0,0,0,0,0,0,0,0
184.9,0,0,0,0,0,0,0,0,0
184.9333333,0,0,0,0,0,0,0,0,0
184.9666667,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0
185.0333333,0,0,0,0,0,0,0,0,0
185.0666667,0,0,0,0,0,0,0,0,0
185.1,0,0,0,0,0,0,0,0,0
185.1333333,0,0,0,0,0,0,0,0,0
185.1666667,0,0,0,0,0,0,0,0,0
185.2,0,0,0,0,0,0,0,0,0
185.2333333,0,0,0,0,0,0,0,0,0
185.2666667,0,0,0,0,0,0,0,0,0
185.3,0,0,0,0,0,0,0,0,0
185.3333333,0,0,0,0,0,0,0,0,0
185.3666667,0,0,0,0,0,0,0,0,0
185.4,0,0,0,0,0,0,0,0,0
185.4333333,0,0,0,0,0,0,0,0,0
185.4666667,0,0,0,0,0,0,0,0,0
185.5,0,0,0,0,0,0,0,0,0
185.5333333,0,0,0,0,0,0,0,0,0
185.5666667,0,0,0,0,0,0,0,0,0
185.6,0,0,0,0,0,0,0,0,0
185.6333333,0,0,0,0,0,0,0,0,0
185.6666667,0,0,0,0,0,0,0,0,0
185.7,0,0,0,0,0,0,0,0,0
185.7333333,0,0,0,0,0,0,0,0,0
185.7666667,0,0,0,0,0,0,0,0,0
185.8,0,0,0,0,0,0,0,0,0
185.8333333,0,0,0,0,0,0,0,0,0
185.8666667,0,0,0,0,0,0,0,0,0
185.9,0,0,0,0,0,0,0,0,0
185.9333333,0,0,0,0,0,0,0,0,0
185.9666667,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
186.0333333,0,0,0,0,0,0,0,0,0
186.0666667,0,0,0,0,0,0,0,0,0
186.1,0,0,0,0,0,0,0,0,0
186.1333333,0,0,0,0,0,0,0,0,0
186.1666667,0,0,0,0,0,0,0,0,0
186.2,0,0,0,0,0,0,0,0,0
186.2333333,0,0,0,0,0,0,0,0,0
186.2666667,0,0,0,0,0,0,0,0,0
186.3,0,0,0,0,0,0,0,0,0
186.3333333,0,0,0,0,0,0,0,0,0
186.3666667,0,0,0,0,0,0,0,0,0
186.4,0,0,0,0,0,0,0,0,0
186.4333333,0,0,0,0,0,0,0,0,0
186.4666667,0,0,0,0,0,0,0,0,0
186.5,0,0,0,0,0,0,0,0,0
186.5333333,0,0,0,0,0,0,0,0,0
186.5666667,0,0,0,0,0,0,0,0,0
186.6,0,0,0,0,0,0,0,0,0
186.6333333,0,0,0,0,0,0,0,0,0
186.6666667,0,0,0,0,0,0,0,0,0
186.7,0,0,0,0,0,0,0,0,0
186.7333333,0,0,0,0,0,0,0,0,0
186.7666667,0,0,0,0,0,0,0,0,0
186.8,0,0,0,0,0,0,0,0,0
