Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  341.5,6.31E+06,,,,,,,,,,,,,,,,,,,,,,,,
  342.5,5.11E+06,,,,,,,,,,,,,,,,,,,,,,,,
  343.4,4.20E+06,,,,,,,,,,,,,,,,,,,,,,,,
  344.3,3.46E+06,,,,,,,,,,,,,,,,,,,,,,,,
  345.3,2.84E+06,,,,,,,,,,,,,,,,,,,,,,,,
  346.2,2.46E+06,,,,,,,,,,,,,,,,,,,,,,,,
  347.2,2.19E+06,,,,,,,,,,,,,,,,,,,,,,,,
  348.1,2.07E+06,,,,,,,,,,,,,,,,,,,,,,,,
  349.1,2.03E+06,,,,,,,,,,,,,,,,,,,,,,,,
  350,2.07E+06,,,,,,,,,,,,,,,,,,,,,,,,
  350.9,2.17E+06,,,,,,,,,,,,,,,,,,,,,,,,
  351.9,2.32E+06,,,,,,,,,,,,,,,,,,,,,,,,
  352.8,2.49E+06,,,,,,,,,,,,,,,,,,,,,,,,
  353.8,2.71E+06,,,,,,,,,,,,,,,,,,,,,,,,
  354.7,2.90E+06,,,,,,,,,,,,,,,,,,,,,,,,
  355.7,3.09E+06,,,,,,,,,,,,,,,,,,,,,,,,
  356.6,3.23E+06,,,,,,,,,,,,,,,,,,,,,,,,
  357.5,3.32E+06,,,,,,,,,,,,,,,,,,,,,,,,
  358.5,3.34E+06,,,,,,,,,,,,,,,,,,,,,,,,
  359.4,3.29E+06,,,,,,,,,,,,,,,,,,,,,,,,
  360.4,3.16E+06,,,,,,,,,,,,,,,,,,,,,,,,
  361.3,2.97E+06,,,,,,,,,,,,,,,,,,,,,,,,
  362.3,2.73E+06,,,,,,,,,,,,,,,,,,,,,,,,
  363.2,2.49E+06,,,,,,,,,,,,,,,,,,,,,,,,
  364.2,2.24E+06,,,,,,,,,,,,,,,,,,,,,,,,
  365.1,2.04E+06,,,,,,,,,,,,,,,,,,,,,,,,
  366,1.89E+06,,,,,,,,,,,,,,,,,,,,,,,,
  367,1.79E+06,,,,,,,,,,,,,,,,,,,,,,,,
  367.9,1.77E+06,,,,,,,,,,,,,,,,,,,,,,,,
  368.9,1.81E+06,,,,,,,,,,,,,,,,,,,,,,,,
  369.8,1.90E+06,,,,,,,,,,,,,,,,,,,,,,,,
  370.8,2.05E+06,,,,,,,,,,,,,,,,,,,,,,,,
  371.7,2.20E+06,,,,,,,,,,,,,,,,,,,,,,,,
  372.6,2.35E+06,,,,,,,,,,,,,,,,,,,,,,,,
  373.6,2.50E+06,,,,,,,,,,,,,,,,,,,,,,,,
  374.5,2.62E+06,,,,,,,,,,,,,,,,,,,,,,,,
  375.5,2.73E+06,,,,,,,,,,,,,,,,,,,,,,,,
  376.4,2.82E+06,,,,,,,,,,,,,,,,,,,,,,,,
  377.4,2.95E+06,,,,,,,,,,,,,,,,,,,,,,,,
  378.3,3.14E+06,,,,,,,,,,,,,,,,,,,,,,,,
  379.2,3.50E+06,,,,,,,,,,,,,,,,,,,,,,,,
  380.2,4.22E+06,,,,,,,,,,,,,,,,,,,,,,,,
  381.1,5.30E+06,,,,,,,,,,,,,,,,,,,,,,,,
  382.1,7.21E+06,,,,,,,,,,,,,,,,,,,,,,,,
  383,9.80E+06,,,,,,,,,,,,,,,,,,,,,,,,
  384,1.39E+07,,,,,,,,,,,,,,,,,,,,,,,,
  384.9,1.90E+07,,,,,,,,,,,,,,,,,,,,,,,,
  385.8,2.56E+07,,,,,,,,,,,,,,,,,,,,,,,,
  386.8,3.48E+07,,,,,,,,,,,,,,,,,,,,,,,,
  387.7,4.48E+07,,,,,,,,,,,,,,,,,,,,,,,,
  388.7,5.76E+07,,,,,,,,,,,,,,,,,,,,,,,,
  389.6,7.02E+07,,,,,,,,,,,,,,,,,,,,,,,,
  390.6,8.47E+07,,,,,,,,,,,,,,,,,,,,,,,,
  391.5,9.75E+07,,,,,,,,,,,,,,,,,,,,,,,,
  392.5,1.10E+08,,,,,,,,,,,,,,,,,,,,,,,,
  393.4,1.20E+08,,,,,,,,,,,,,,,,,,,,,,,,
  394.3,1.27E+08,,,,,,,,,,,,,,,,,,,,,,,,
  395.3,1.30E+08,,,,,,,,,,,,,,,,,,,,,,,,
  396.2,1.29E+08,,,,,,,,,,,,,,,,,,,,,,,,
  397.2,1.24E+08,,,,,,,,,,,,,,,,,,,,,,,,
  398.1,1.17E+08,,,,,,,,,,,,,,,,,,,,,,,,
  399.1,1.05E+08,,,,,,,,,,,,,,,,,,,,,,,,
  400,9.26E+07,,,,,,,,,,,,,,,,,,,,,,,,
  400.9,7.95E+07,,,,,,,,,,,,,,,,,,,,,,,,
  401.9,6.50E+07,,,,,,,,,,,,,,,,,,,,,,,,
  402.8,5.26E+07,,,,,,,,,,,,,,,,,,,,,,,,
  403.8,4.02E+07,,,,,,,,,,,,,,,,,,,,,,,,
  404.7,3.07E+07,,,,,,,,,,,,,,,,,,,,,,,,
  405.7,2.20E+07,,,,,,,,,,,,,,,,,,,,,,,,
  406.6,1.59E+07,,,,,,,,,,,,,,,,,,,,,,,,
  407.5,1.12E+07,,,,,,,,,,,,,,,,,,,,,,,,
  408.5,7.34E+06,,,,,,,,,,,,,,,,,,,,,,,,
  409.4,4.93E+06,,,,,,,,,,,,,,,,,,,,,,,,
  410.4,3.11E+06,,,,,,,,,,,,,,,,,,,,,,,,
  411.3,2.04E+06,,,,,,,,,,,,,,,,,,,,,,,,
  412.3,1.29E+06,,,,,,,,,,,,,,,,,,,,,,,,
  413.2,8.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  414.2,6.03E+05,,,,,,,,,,,,,,,,,,,,,,,,
  415.1,4.63E+05,,,,,,,,,,,,,,,,,,,,,,,,
  416,3.82E+05,,,,,,,,,,,,,,,,,,,,,,,,
  417,3.33E+05,,,,,,,,,,,,,,,,,,,,,,,,
  417.9,3.10E+05,,,,,,,,,,,,,,,,,,,,,,,,
  418.9,2.98E+05,,,,,,,,,,,,,,,,,,,,,,,,
  419.8,2.95E+05,,,,,,,,,,,,,,,,,,,,,,,,
  420.8,2.97E+05,,,,,,,,,,,,,,,,,,,,,,,,
  421.7,3.03E+05,,,,,,,,,,,,,,,,,,,,,,,,
  422.6,3.12E+05,,,,,,,,,,,,,,,,,,,,,,,,
  423.6,3.25E+05,,,,,,,,,,,,,,,,,,,,,,,,
  424.5,3.39E+05,,,,,,,,,,,,,,,,,,,,,,,,
  425.5,3.56E+05,,,,,,,,,,,,,,,,,,,,,,,,
  426.4,3.71E+05,,,,,,,,,,,,,,,,,,,,,,,,
  427.4,3.85E+05,,,,,,,,,,,,,,,,,,,,,,,,
  428.3,3.97E+05,,,,,,,,,,,,,,,,,,,,,,,,
  429.2,4.05E+05,,,,,,,,,,,,,,,,,,,,,,,,
  430.2,4.10E+05,,,,,,,,,,,,,,,,,,,,,,,,
  431.1,4.11E+05,,,,,,,,,,,,,,,,,,,,,,,,
  432.1,4.07E+05,,,,,,,,,,,,,,,,,,,,,,,,
  433,4.02E+05,,,,,,,,,,,,,,,,,,,,,,,,
  434,3.93E+05,,,,,,,,,,,,,,,,,,,,,,,,
  434.9,3.84E+05,,,,,,,,,,,,,,,,,,,,,,,,
  435.8,3.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  436.8,3.64E+05,,,,,,,,,,,,,,,,,,,,,,,,
  437.7,3.56E+05,,,,,,,,,,,,,,,,,,,,,,,,
  438.7,3.48E+05,,,,,,,,,,,,,,,,,,,,,,,,
  439.6,3.43E+05,,,,,,,,,,,,,,,,,,,,,,,,
