wavelength,CR1000Y
203.1666667,1299.754063
203.2,1290.363777
203.2333333,1273.137903
203.2666667,1219.480188
203.3,1137.111829
203.3333333,1037.989765
203.3666667,935.8214614
203.4,846.6475561
203.4333333,785.9708443
203.4666667,755.3902701
203.5,743.7201642
203.5333333,739.6054781
203.5666667,735.1537027
203.6,724.6612482
203.6333333,703.7507995
203.6666667,677.0996087
203.7,653.2582522
203.7333333,638.3879998
203.7666667,627.7772042
203.8,613.6429549
203.8333333,589.8225503
203.8666667,554.9430524
203.9,508.7453623
203.9333333,480.722767
203.9666667,559.004492
204,835.2602371
204.0333333,1262.377918
204.0666667,1607.056679
204.1,1634.817649
204.1333333,1348.314808
204.1666667,968.8821401
204.2,710.300693
204.2333333,608.580176
204.2666667,587.4238351
204.3,576.4038213
204.3333333,558.3450714
204.3666667,538.7488689
204.4,522.021854
204.4333333,507.2884289
204.4666667,492.1944574
204.5,475.4056015
204.5333333,458.5640623
204.5666667,443.8443555
204.6,432.4831662
204.6333333,423.8977629
204.6666667,417.3946499
204.7,416.2084032
204.7333333,428.7458691
204.7666667,462.9918831
204.8,512.0283049
204.8333333,555.4941751
204.8666667,574.1629118
204.9,566.4385622
204.9333333,541.5734349
204.9666667,511.2857255
205,502.8235651
205.0333333,549.8414978
205.0666667,667.899032
205.1,794.3671707
205.1333333,845.578749
205.1666667,780.1684144
205.2,675.317856
205.2333333,628.2544947
205.2666667,677.5179339
205.3,752.4705365
205.3333333,772.388301
205.3666667,722.4102364
205.4,670.6739199
205.4333333,686.7339443
205.4666667,771.0922566
205.5,864.8381685
205.5333333,912.3137483
205.5666667,910.7410269
205.6,888.219232
205.6333333,871.757186
205.6666667,879.0487128
205.7,924.1666182
205.7333333,1013.884526
205.7666667,1125.534732
205.8,1229.05502
205.8333333,1312.251176
205.8666667,1409.706038
205.9,1563.66074
205.9333333,1824.505512
205.9666667,2256.796184
206,2928.106864
206.0333333,3956.289519
206.0666667,5518.328178
206.1,7764.986268
206.1333333,10377.15768
206.1666667,12659.77926
206.2,13959.33777
206.2333333,14102.43382
206.2666667,13174.72207
206.3,11368.33492
206.3333333,9471.913557
206.3666667,8486.458367
206.4,8972.7068
206.4333333,9874.563838
206.4666667,9767.546806
206.5,7940.39387
206.5333333,5380.135853
206.5666667,3311.207812
206.6,2325.614018
206.6333333,2013.793574
206.6666667,1887.84493
206.7,1729.953811
206.7333333,1611.436071
206.7666667,1611.643488
206.8,1725.938053
206.8333333,1888.779125
206.8666667,2053.984021
206.9,2343.262141
206.9333333,2959.754574
206.9666667,4000.417083
207,5020.446266
207.0333333,5403.61968
207.0666667,4784.567861
207.1,3611.753656
207.1333333,2496.950585
207.1666667,1819.515535
207.2,1468.165032
207.2333333,1270.867287
207.2666667,1126.739584
207.3,1035.04364
207.3333333,1001.378558
207.3666667,1006.282225
207.4,1006.479443
207.4333333,961.8683875
207.4666667,879.6633205
207.5,797.3538317
207.5333333,748.2747889
207.5666667,733.5453689
207.6,740.6413652
207.6333333,752.5618825
207.6666667,732.9678904
207.7,640.3238065
207.7333333,496.9362899
207.7666667,503.3000159
207.8,888.5354564
207.8333333,1664.513132
207.8666667,2446.304719
207.9,2815.364994
207.9333333,2646.853684
207.9666667,2174.507701
208,1647.098404
208.0333333,1201.629804
208.0666667,883.2284566
208.1,726.6632697
208.1333333,694.8276028
208.1666667,711.1576654
208.2,710.8870809
208.2333333,699.7891892
208.2666667,708.9238716
208.3,763.5621716
208.3333333,867.7115021
208.3666667,1020.488719
208.4,1211.133399
208.4333333,1405.733312
208.4666667,1569.246519
208.5,1796.215892
208.5333333,2381.236013
208.5666667,3620.045793
208.6,5418.381552
208.6333333,7278.946924
208.6666667,8700.134737
208.7,9363.214533
208.7333333,9076.06284
208.7666667,7723.629853
208.8,5754.073844
208.8333333,3872.883581
208.8666667,2648.454812
208.9,1998.560814
208.9333333,1650.024173
208.9666667,1390.426395
209,1188.139354
209.0333333,1044.927963
209.0666667,954.7353298
209.1,896.4474369
209.1333333,847.5512357
209.1666667,797.1906349
209.2,749.3764548
209.2333333,709.2290022
209.2666667,684.3809358
209.3,684.6075385
