Wavelength,Intensity,,,,,,,,,,,,,,,,,,,,,,,,
  413.3,1.27E+06,,,,,,,,,,,,,,,,,,,,,,,,
  414.3,8.17E+05,,,,,,,,,,,,,,,,,,,,,,,,
  415.3,5.45E+05,,,,,,,,,,,,,,,,,,,,,,,,
  416.3,3.87E+05,,,,,,,,,,,,,,,,,,,,,,,,
  417.3,2.99E+05,,,,,,,,,,,,,,,,,,,,,,,,
  418.4,2.52E+05,,,,,,,,,,,,,,,,,,,,,,,,
  419.4,2.35E+05,,,,,,,,,,,,,,,,,,,,,,,,
  420.4,2.32E+05,,,,,,,,,,,,,,,,,,,,,,,,
  421.4,2.37E+05,,,,,,,,,,,,,,,,,,,,,,,,
  422.4,2.47E+05,,,,,,,,,,,,,,,,,,,,,,,,
  423.5,2.60E+05,,,,,,,,,,,,,,,,,,,,,,,,
  424.5,2.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  425.5,2.87E+05,,,,,,,,,,,,,,,,,,,,,,,,
  426.5,3.00E+05,,,,,,,,,,,,,,,,,,,,,,,,
  427.6,3.13E+05,,,,,,,,,,,,,,,,,,,,,,,,
  428.6,3.22E+05,,,,,,,,,,,,,,,,,,,,,,,,
  429.6,3.31E+05,,,,,,,,,,,,,,,,,,,,,,,,
  430.6,3.38E+05,,,,,,,,,,,,,,,,,,,,,,,,
  431.6,3.44E+05,,,,,,,,,,,,,,,,,,,,,,,,
  432.7,3.52E+05,,,,,,,,,,,,,,,,,,,,,,,,
  433.7,3.61E+05,,,,,,,,,,,,,,,,,,,,,,,,
  434.7,3.74E+05,,,,,,,,,,,,,,,,,,,,,,,,
  435.7,3.91E+05,,,,,,,,,,,,,,,,,,,,,,,,
  436.7,4.13E+05,,,,,,,,,,,,,,,,,,,,,,,,
  437.8,4.45E+05,,,,,,,,,,,,,,,,,,,,,,,,
  438.8,4.82E+05,,,,,,,,,,,,,,,,,,,,,,,,
  439.8,5.24E+05,,,,,,,,,,,,,,,,,,,,,,,,
  440.8,5.72E+05,,,,,,,,,,,,,,,,,,,,,,,,
